DATE,HORACOUNTY39057
2016-07-01,215.0
2016-08-01,121.0
2016-09-01,193.0
2016-10-01,226.0
2016-11-01,145.0
2016-12-01,121.0
2017-01-01,84.0
2017-02-01,142.0
2017-03-01,221.0
2017-04-01,105.0
2017-05-01,130.0
2017-06-01,153.0
2017-07-01,51.0
2017-08-01,38.0
2017-09-01,81.0
2017-10-01,118.0
2017-11-01,133.0
2017-12-01,98.0
2018-01-01,67.0
2018-02-01,68.0
2018-03-01,102.0
2018-04-01,91.0
2018-05-01,50.0
2018-06-01,29.0
2018-07-01,61.0
2018-08-01,50.0
2018-09-01,25.0
2018-10-01,42.0
2018-11-01,77.0
2018-12-01,82.0
2019-01-01,94.0
2019-02-01,87.0
2019-03-01,27.0
2019-04-01,29.0
2019-05-01,16.0
2019-06-01,7.0
2019-07-01,8.0
2019-08-01,19.0
2019-09-01,34.0
2019-10-01,20.0
2019-11-01,16.0
2019-12-01,9.0
2020-01-01,13.0
2020-02-01,38.0
2020-03-01,13.0
