DATE,HORACOUNTY39109
2016-07-01,226.0
2016-08-01,251.0
2016-09-01,237.0
2016-10-01,213.0
2016-11-01,371.0
2016-12-01,251.0
2017-01-01,225.0
2017-02-01,244.0
2017-03-01,324.0
2017-04-01,364.0
2017-05-01,155.0
2017-06-01,273.0
2017-07-01,231.0
2017-08-01,205.0
2017-09-01,216.0
2017-10-01,185.0
2017-11-01,304.0
2017-12-01,322.0
2018-01-01,312.0
2018-02-01,202.0
2018-03-01,219.0
2018-04-01,247.0
2018-05-01,273.0
2018-06-01,237.0
2018-07-01,144.0
2018-08-01,215.0
2018-09-01,127.0
2018-10-01,64.0
2018-11-01,99.0
2018-12-01,104.0
2019-01-01,148.0
2019-02-01,130.0
2019-03-01,182.0
2019-04-01,218.0
2019-05-01,122.0
2019-06-01,75.0
2019-07-01,35.0
2019-08-01,33.0
2019-09-01,25.0
2019-10-01,12.0
2019-11-01,59.0
2019-12-01,78.0
2020-01-01,110.0
2020-02-01,108.0
2020-03-01,45.0
